"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"21/05/2012","Coolaleen, Broadford","","Limerick","€135,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/05/2012","Kildromin, Kilteely","","Limerick","€45,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/05/2012","19 ISLANDVIEW TERRACE, CORBALLY","","Limerick","€185,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/05/2012","26 Glendora Avenue, Caherdavin","","Limerick","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/05/2012","60 Crossroads, Thomondgate","","Limerick","€76,340.00","Yes","Second-Hand Dwelling house /Apartment",""
"24/05/2012","18 Aos Cluain, Clarina","","Limerick","€192,000.00","No","Second-Hand Dwelling house /Apartment",""
"24/05/2012","4 Shelbourne Court, Ennis Road","","Limerick","€155,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/05/2012","6 Lissanalta Close, Dooradoyle","","Limerick","€145,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/05/2012","7 Upper Carey's Road, Limerick","","Limerick","€31,750.00","Yes","Second-Hand Dwelling house /Apartment",""
"25/05/2012","Gortnacrehy, Kilmeedy, Co. Limerick","","Limerick","€201,453.74","No","New Dwelling house /Apartment","greater than 125 sq metres"
"29/05/2012","12A Oakfield, Ashleigh Wood, Monaleen","","Limerick","€285,000.00","No","Second-Hand Dwelling house /Apartment",""
"29/05/2012","17 Lifford Gardens, Ballinacurra, Limerick","","Limerick","€69,000.00","Yes","Second-Hand Dwelling house /Apartment",""
"30/05/2012","13 Island View Terace, Corbally","","Limerick","€117,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/05/2012","113 Ashill Manor, Kilmallock","","Limerick","€75,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"31/05/2012","4 Exchange Street, St. Mary's Parish","","Limerick","€63,000.00","No","Second-Hand Dwelling house /Apartment",""
