"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"04/01/2010","13  Oakleigh Wood, Dooradoyle, Limerick","","Limerick","€172,500.00","No","Second-Hand Dwelling house /Apartment",""
"04/01/2010","No. 11, Charlotte Quay","","Limerick","€164,167.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2010","No. 12, Charlotte Quay","","Limerick","€164,167.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2010","No. 13, Charlotte Quay","","Limerick","€164,167.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"04/01/2010","No. 18, Charlotte Quay","","Limerick","€164,167.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/01/2010","253 Bru na Gruadan, Castletroy","","Limerick","€180,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"11/01/2010","15 Foxhollow, Golf Links Road, Limerick","","Limerick","€600,000.00","No","Second-Hand Dwelling house /Apartment",""
"11/01/2010","2 Bellview, Glenfield, Kilmallock","","Limerick","€180,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"11/01/2010","3 THE PARK, BRIARFIELD, CASTLETROY","","Limerick","€230,000.00","No","Second-Hand Dwelling house /Apartment",""
"13/01/2010","255 Bru na Gruadan, Castletroy","","Limerick","€177,731.27","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"14/01/2010","35 Assumpta Park, Newcastle West","","Limerick","€116,500.00","No","Second-Hand Dwelling house /Apartment",""
"15/01/2010","3A Castlegrange, Raheen, Limerick","","Limerick","€165,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/01/2010","SITE 51  THE OAKS, LISCREAGH, MURROE","","Limerick","€168,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"19/01/2010","46 Ballyvareen, Kildimo","","Limerick","€185,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"20/01/2010","6 Corbally Road, Limerick","","Limerick","€225,000.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2010","Ardaneer, Foynes, Co. Limerick","","Limerick","€12,500.00","No","Second-Hand Dwelling house /Apartment",""
"20/01/2010","Caherline, Caherconlish","","Limerick","€18,417.31","No","Second-Hand Dwelling house /Apartment",""
"20/01/2010","Muine, Doon, Co. Limerick","","Limerick","€70,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/01/2010","349 Gleanntan, Golf Links Road, Castletroy","","Limerick","€110,132.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"21/01/2010","7 Mount Park, New Street","","Limerick","€220,000.00","No","Second-Hand Dwelling house /Apartment",""
"21/01/2010","No. 11 St Jude's Terrace, St. Patrick's Road","","Limerick","€127,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/01/2010","3 Aherlow Close, Glenmore","","Limerick","€105,000.00","No","Second-Hand Dwelling house /Apartment",""
"22/01/2010","53 Shannanvale, Old Cratloe Road, Limerick","","Limerick","€225,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2010","20 GREENVIEW LAWN, GLENCAIRIN, DOORADOYLE","","Limerick","€161,000.00","No","Second-Hand Dwelling house /Apartment",""
"25/01/2010","24  The Glebe, Monagea, Newcastlewest","","Limerick","€200,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"25/01/2010","Ballyagran, Kilmallock","","Limerick","€90,000.00","No","Second-Hand Dwelling house /Apartment",""
"27/01/2010","122 Ashill Manor, Kilmallock","","Limerick","€125,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"27/01/2010","122 Ashill Manor, Kilmallock","","Limerick","€125,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"27/01/2010","122 Ashill Manor, Kilmallock","","Limerick","€125,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"27/01/2010","Bogmount, Abbeyfeale","","Limerick","€150,000.00","No","Second-Hand Dwelling house /Apartment",""
"27/01/2010","Caherguillamore, Bruff","","Limerick","€339,207.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"27/01/2010","Lissilaun, Blackabbey Road, Adare","","Limerick","€670,000.00","No","Second-Hand Dwelling house /Apartment",""
"28/01/2010","Mountblakeney, Kilmallock","","Limerick","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"29/01/2010","ARDLAMEN HOUSE, RATHKEALE, CO. LIMERICK","","Limerick","€226,696.03","No","New Dwelling house /Apartment","greater than 125 sq metres"
"01/02/2010","1 North Quay, Newcastle West, Co Limerick","","Limerick","€125,000.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"01/02/2010","247 GLANNTAN, GOLF LINKS ROAD, CASTLETROY","","Limerick","€228,500.00","No","Teach/?ras?n C?naithe Ath?imhe",""
"02/02/2010","22  Glendale Lawn, Old Singland Road","","Limerick","€220,000.00","No","Second-Hand Dwelling house /Apartment",""
"02/02/2010","43 ballyvareen estate, kildimo","","Limerick","€152,892.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"02/02/2010","Monine, Ardpatrick","","Limerick","€118,000.00","No","Second-Hand Dwelling house /Apartment",""
"04/02/2010","Derreen, Athea, Limerick","","Limerick","€235,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/02/2010","18 Abbeycourt, Rathkeale","","Limerick","€142,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/02/2010","156 Curragh Birin, Castletroy, Limerick","","Limerick","€18,000,000.00","No","Second-Hand Dwelling house /Apartment",""
"08/02/2010","156 Curragh Birin, Castletroy, Limerick","","Limerick","€180,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"08/02/2010","No  8 Ard Thomain, Sli na Manach, Mungret","","Limerick","€220,264.31","No","New Dwelling house /Apartment","greater than 125 sq metres"
"09/02/2010","Cragmore, Askeaton","","Limerick","€80,000.00","No","Second-Hand Dwelling house /Apartment",""
"09/02/2010","knockard, north circular road, limerick","","Limerick","€664,285.00","No","Second-Hand Dwelling house /Apartment",""
"10/02/2010","Glebe House, Croagh","","Limerick","€750,000.00","No","Second-Hand Dwelling house /Apartment",""
"10/02/2010","Railway View, Knocklong","","Limerick","€115,000.00","No","Second-Hand Dwelling house /Apartment",""
"12/02/2010","16 The Glebe, Monagea  Newcastlewest","","Limerick","€160,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"12/02/2010","82 The Spruce, The Paddocks, Newcastlewest","","Limerick","€210,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"14/02/2010","The Rivers, Anacotty, Co. Limerick","","Limerick","€445,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/02/2010","23 The Village, Adare Manor, Adare","","Limerick","€490,749.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"15/02/2010","27 Riverside Drive, Killarney Road, Abbeyfeale","","Limerick","€130,000.00","No","Second-Hand Dwelling house /Apartment",""
"15/02/2010","No. 14, Charlotte Quay","","Limerick","€164,167.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"15/02/2010","No. 15, Charlotte Quay","","Limerick","€164,167.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"16/02/2010","13 Elliswood, Killarney Road, Abbeyfeale","","Limerick","€159,292.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"16/02/2010","14 Elliswood, Killarney Road, Abbeyfeale","","Limerick","€159,292.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"17/02/2010","33 Ballykeeffe Estate, Limerick","","Limerick","€168,500.00","No","Second-Hand Dwelling house /Apartment",""
"17/02/2010","Foxhallow House, Knockanes, Adare","","Limerick","€648,000.00","No","Second-Hand Dwelling house /Apartment",""
"17/02/2010","The School House, Clash, Athea","","Limerick","€145,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/02/2010","10 Roskeen, Annacotty, Limerick","","Limerick","€375,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/02/2010","29 Cluain Ard, Fedamore, Co Limerick","","Limerick","€125,172,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"18/02/2010","7 Cryle View Close, Abbeyfeale","","Limerick","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/02/2010","Carrigeen, Croom","","Limerick","€234,000.00","No","Second-Hand Dwelling house /Apartment",""
"18/02/2010","Stradbally Cottage, Castleconnell","","Limerick","€230,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/02/2010","28 Cluain Ard, Fedamore, Co. Limerick","","Limerick","€228,000.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"19/02/2010","33 Alandale Square, Courtbrack Avenue, Limerick","","Limerick","€6,810.00","No","New Dwelling house /Apartment","less than 38 sq metres"
"19/02/2010","640 Chestnut Close, Elm Park, Castletroy","","Limerick","€135,000.00","No","Second-Hand Dwelling house /Apartment",""
"19/02/2010","No.7 The Fairways, Monaleen","","Limerick","€377,500.00","No","Second-Hand Dwelling house /Apartment",""
"22/02/2010","12 Rossa Avenue, Mulgrave Street, Limerick","","Limerick","€78,565.85","Yes","Second-Hand Dwelling house /Apartment",""
"22/02/2010","Killoughteen, Newcastle West","","Limerick","€125,000.00","No","Second-Hand Dwelling house /Apartment",""
"23/02/2010","10 Toormore, Railway Road, Bruree","","Limerick","€125,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
